가게 이름,별점,리뷰 수,태그들
하루롤스시,5.0,1,"#노원맛집, #롤초밥, #연어초밥, #유부초밥, #후토마끼, #혼밥"
처갓집양념치킨 노원역점,4.2,5,#제로페이
볶음밥도사 노원구점,0,0,
파스타에반하다 노원구점,0,0,
대단한탕후루 마들역점,0,0,#카카오페이
육일메밀장터,0,0,
DK치킨 상계마들점,5.0,2,
여우애김밥 상계점,5.0,1,"#카카오페이, #제로페이"
스프링베어,0,0,#건강식
서오릉피자 상계점,2.7,9,#제로페이
680루프탑,3.6,7,"#680루프탑, #노원맛집, #노원술집, #마들맛집, #마들술집, #친목모임, #혼술, #회식장소, #카카오페이, #제로페이"
,47,,
봉평메밀촌,5.0,2,"#가족모임, #혼밥, #제로페이"
회랑조개랑,0,0,#제로페이
리츠호텔 레스토랑,0,0,
콩밭뜰,0,0,
아토,4.8,6,"#데이트코스, #분위기좋은, #소개팅, #혼술"
주식회사 감스,0,0,#제로페이
킹아이스크림할인점,0,0,
케슬리,5.0,8,"#디저트카페, #브런치카페, #제로페이"
떡이맛있는집,3.0,1,#제로페이
떡보의하루 노원도봉점,2.0,4,#제로페이
땅스떡볶이 상계점,0,0,
민부곤과자점,3.4,18,"#백년가게, #제로페이"
피노키오냉면,4.0,46,#제로페이
가시버시,0,0,#제로페이
레이앤벨라,0,0,
보람각,4.4,8,"#혼밥, #제로페이"
소문난원조 보람OK냉면,2.3,4,
마들김밥냉면,4.0,11,"#노포, #혼밥, #제로페이"
